央视频道,#genre#
新津综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjzh_4000.m3u8?E&U&A&K&P&S
绵阳新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/myytH265_4000.m3u8?E&U&A&K&P&S
绵阳科技,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/myetH265_4000.m3u8?E&U&A&K&P&S
安州综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/azgq_2000.m3u8?E&U&A&K&P&S
北川综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/bcxwHD_2000.m3u8?E&U&A&K&P&S
涪城综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/fcgq_2000.m3u8?E&U&A&K&P&S
江油综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwHD_2000.m3u8?E&U&A&K&P&S
平武综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pwgq_4000.m3u8?E&U&A&K&P&S
三台一套,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/stxwHD_2000.m3u8?E&U&A&K&P&S
盐亭综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ytzh_2000.m3u8?E&U&A&K&P&S
梓潼综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ztgq_2000.m3u8?E&U&A&K&P&S
攀枝花新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhytH265_4000.m3u8?E&U&A&K&P&S
攀枝花文旅,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhggpd_2000.m3u8?E&U&A&K&P&S
攀钢新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pgxwzh_2000.m3u8?E&U&A&K&P&S
米易综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/myxwzh_2000.m3u8?E&U&A&K&P&S
盐边综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybtgq_2000.m3u8?E&U&A&K&P&S
仁和新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/rhxwH264_2000.m3u8?E&U&A&K&P&S
广元综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyzhH265_4000.m3u8?E&U&A&K&P&S
广元文化生活,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyggH265_4000.m3u8?E&U&A&K&P&S
朝天综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ctxwzh_2000.m3u8?E&U&A&K&P&S
苍溪综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cxxwgqH265_4000.m3u8?E&U&A&K&P&S
剑阁综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jgxwzhH265_4000.m3u8?E&U&A&K&P&S
利州综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lzxwzh_2000.m3u8?E&U&A&K&P&S
青川综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/qcxwzhH265_4000.m3u8?E&U&A&K&P&S
旺苍新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/wcxwzhH265_4000.m3u8?E&U&A&K&P&S
昭化综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/zhxwzh_2000.m3u8?E&U&A&K&P&S
古蔺新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/glxwzhgq_2000.m3u8?E&U&A&K&P&S
合江新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hjxw_2000.m3u8?E&U&A&K&P&S
泸县综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lxxwzh_2000.m3u8?E&U&A&K&P&S
纳溪,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxxw_2000.m3u8?E&U&A&K&P&S
叙永综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xyxw_2000.m3u8?E&U&A&K&P&S
德阳新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwgq-HD-_2000.m3u8?E&U&A&K&P&S
德阳文旅,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dygggq-HD-_2000.m3u8?E&U&A&K&P&S
